t,i,q
-1.5288,-0.7900386,2.2441478
-1.5284,-0.7902246,2.2437395
-1.528,-0.7900738,2.244276
-1.5276,-0.7904564,2.2445078
-1.5272,-0.7902246,2.244276
-1.5268,-0.800834,2.2577588
-1.5264,-0.9465432,2.4802908
-1.526,-0.9133903,2.4329002
-1.5256,-0.9163414,2.440274
-1.5252,-0.9170361,2.4421642
-1.5248,-0.9167949,2.4419833
-1.5244,-0.9171775,2.4426045
-1.524,-0.9170587,2.4425706
-1.5236,-0.917109,2.4421302
-1.5232,-0.9168226,2.4417684
-1.5228,-0.9169683,2.4418777
-1.5224,-0.9165631,2.4415159
-1.522,-0.9167949,2.4415027
-1.5216,-0.9167686,2.4407709
-1.5212,-0.9163238,2.440629
-1.5208,-0.886304,2.3408226
-1.5204,-0.8803036,2.3224598
-1.52,-0.8822158,2.3271905
-1.5196,-0.8824042,2.3273639
-1.5192,-0.8825757,2.3274902
-1.5188,-0.8825945,2.3276616
-1.5184,-0.8825587,2.3275071
-1.518,-0.8819897,2.3283526
-1.5176,-0.8822666,2.3282113
-1.5172,-0.8824042,2.327688
-1.5168,-0.8822836,2.3278972
-1.5164,-0.8824099,2.3284468
-1.516,-0.879694,2.3022862
-1.5156,-0.8671912,2.2093412
-1.5152,-0.8692057,2.2139945
-1.5148,-0.8699205,2.2165982
-1.5144,-0.8701467,2.2165681
-1.514,-0.8704382,2.2164022
-1.5136,-0.8698414,2.216585
-1.5132,-0.8701504,2.2167998
-1.5128,-0.8705788,2.216438
-1.5124,-0.8706266,2.2166924
-1.512,-0.8706266,2.2166189
-1.5116,-0.8704557,2.2168733
-1.5112,-0.8706266,2.2168733
-1.5108,-0.8753807,2.1613718
-1.5104,-0.8775549,2.101191
-1.51,-0.880457,2.1074512
-1.5096,-0.8808377,2.1086296
-1.5092,-0.8803628,2.1089914
-1.5088,-0.8807258,2.1089217
-1.5084,-0.8809124,2.1081284
-1.508,-0.8808464,2.1086635
-1.5076,-0.880869,2.1090253
-1.5072,-0.8809124,2.1090687
-1.5068,-0.8807032,2.1090687
-1.5064,-0.8810123,2.1094374
-1.506,-0.8809218,2.1096183
-1.5056,-0.8868541,2.1001571
-1.5052,-0.9103432,1.9999253
-1.5048,-0.9133005,2.0057213
-1.5044,-0.9138113,2.0073344
-1.504,-0.9141127,2.0077464
-1.5036,-0.9142824,2.0080951
-1.5032,-0.9139469,2.0077038
-1.5028,-0.9138113,2.0080367
-1.5024,-0.9136266,2.0078595
-1.502,-0.9135003,2.0079349
-1.5016,-0.9135418,2.0080951
-1.5012,-0.9137189,2.0085153
-1.5008,-0.9135757,2.008146
-1.5004,-0.9427704,1.9555893
